Type,Value,Unit,Time
internaltemp,26.5,Celsius,16-08-19 12:46
internalrh,63,%,16-08-19 12:46
internaltemp,25.7,Celsius,16-08-19 12:56
internalrh,70,%,16-08-19 12:56
internaltemp,25.1,Celsius,16-08-19 13:06
internalrh,81,%,16-08-19 13:06
internaltemp,25.1,Celsius,16-08-19 13:16
internalrh,92,%,16-08-19 13:16
internaltemp,25.3,Celsius,16-08-19 13:26
internalrh,94,%,16-08-19 13:26
internaltemp,25.3,Celsius,16-08-19 13:36
internalrh,95,%,16-08-19 13:36
internaltemp,25.3,Celsius,16-08-19 13:46
internalrh,95,%,16-08-19 13:46
internaltemp,25.2,Celsius,16-08-19 13:56
internalrh,95,%,16-08-19 13:56
internaltemp,25.2,Celsius,16-08-19 14:06
internalrh,95,%,16-08-19 14:06
internaltemp,25.1,Celsius,16-08-19 14:16
internalrh,95,%,16-08-19 14:16
internaltemp,25,Celsius,16-08-19 14:26
internalrh,95,%,16-08-19 14:26
internaltemp,24.9,Celsius,16-08-19 14:36
internalrh,95,%,16-08-19 14:36
internaltemp,24.9,Celsius,16-08-19 14:46
internalrh,95,%,16-08-19 14:46
internaltemp,25,Celsius,16-08-19 14:56
internalrh,94,%,16-08-19 14:56
internaltemp,25.1,Celsius,16-08-19 15:06
internalrh,93,%,16-08-19 15:06
internaltemp,25.3,Celsius,16-08-19 15:16
internalrh,84,%,16-08-19 15:16
internaltemp,25.4,Celsius,16-08-19 15:26
internalrh,75,%,16-08-19 15:26
internaltemp,25.6,Celsius,16-08-19 15:36
internalrh,71,%,16-08-19 15:36
internaltemp,25.7,Celsius,16-08-19 15:46
internalrh,71,%,16-08-19 15:46
internaltemp,25.7,Celsius,16-08-19 15:56
internalrh,72,%,16-08-19 15:56
internaltemp,25.8,Celsius,16-08-19 16:06
internalrh,72,%,16-08-19 16:06
internaltemp,25.8,Celsius,16-08-19 16:16
internalrh,73,%,16-08-19 16:16
internaltemp,25.9,Celsius,16-08-19 16:26
internalrh,74,%,16-08-19 16:26
internaltemp,25.9,Celsius,16-08-19 16:36
internalrh,74,%,16-08-19 16:36
internaltemp,25.9,Celsius,16-08-19 16:46
internalrh,72,%,16-08-19 16:46
internaltemp,26.1,Celsius,16-08-19 16:56
internalrh,71,%,16-08-19 16:56
internaltemp,26.1,Celsius,16-08-19 17:06
internalrh,71,%,16-08-19 17:06
internaltemp,26.1,Celsius,16-08-19 17:16
internalrh,71,%,16-08-19 17:16
internaltemp,26.2,Celsius,16-08-19 17:26
internalrh,73,%,16-08-19 17:26
internaltemp,26.2,Celsius,16-08-19 17:36
internalrh,72,%,16-08-19 17:36
internaltemp,26.2,Celsius,16-08-19 17:46
internalrh,68,%,16-08-19 17:46
internaltemp,26.2,Celsius,16-08-19 17:56
internalrh,65,%,16-08-19 17:56
internaltemp,26.3,Celsius,16-08-19 18:06
internalrh,65,%,16-08-19 18:06
internaltemp,26.3,Celsius,16-08-19 18:16
internalrh,65,%,16-08-19 18:16
internaltemp,26.3,Celsius,16-08-19 18:26
internalrh,63,%,16-08-19 18:26
internaltemp,26.3,Celsius,16-08-19 18:36
internalrh,62,%,16-08-19 18:36
internaltemp,26.3,Celsius,16-08-19 18:46
internalrh,70,%,16-08-19 18:46
internaltemp,26.3,Celsius,16-08-19 18:56
internalrh,69,%,16-08-19 18:56
internaltemp,26.3,Celsius,16-08-19 19:06
internalrh,69,%,16-08-19 19:06
internaltemp,26.2,Celsius,16-08-19 19:16
internalrh,70,%,16-08-19 19:16
internaltemp,26.2,Celsius,16-08-19 19:26
internalrh,70,%,16-08-19 19:26
internaltemp,26.2,Celsius,16-08-19 19:36
internalrh,71,%,16-08-19 19:36
internaltemp,26.2,Celsius,16-08-19 19:46
internalrh,72,%,16-08-19 19:46
internaltemp,26.2,Celsius,16-08-19 19:56
internalrh,73,%,16-08-19 19:56
internaltemp,26.2,Celsius,16-08-19 20:06
internalrh,72,%,16-08-19 20:06
internaltemp,26.2,Celsius,16-08-19 20:16
internalrh,72,%,16-08-19 20:16
internaltemp,26.2,Celsius,16-08-19 20:26
internalrh,72,%,16-08-19 20:26
internaltemp,26.2,Celsius,16-08-19 20:36
internalrh,72,%,16-08-19 20:36
internaltemp,26.2,Celsius,16-08-19 20:46
internalrh,72,%,16-08-19 20:46
internaltemp,26.2,Celsius,16-08-19 20:46
internalrh,72,%,16-08-19 20:46
internaltemp,26.2,Celsius,16-08-19 20:56
internalrh,71,%,16-08-19 20:56
internaltemp,26.2,Celsius,16-08-19 21:06
internalrh,70,%,16-08-19 21:06
internaltemp,26.2,Celsius,16-08-19 21:16
internalrh,70,%,16-08-19 21:16
internaltemp,26.1,Celsius,16-08-19 21:26
internalrh,70,%,16-08-19 21:26
internaltemp,26.1,Celsius,16-08-19 21:36
internalrh,70,%,16-08-19 21:36
internaltemp,26.1,Celsius,16-08-19 21:46
internalrh,68,%,16-08-19 21:46
internaltemp,26.1,Celsius,16-08-19 21:56
internalrh,69,%,16-08-19 21:56
internaltemp,26.1,Celsius,16-08-19 22:06
internalrh,69,%,16-08-19 22:06
internaltemp,26.1,Celsius,16-08-19 22:16
internalrh,68,%,16-08-19 22:16
internaltemp,26.1,Celsius,16-08-19 22:26
internalrh,65,%,16-08-19 22:26
internaltemp,26.1,Celsius,16-08-19 22:36
internalrh,67,%,16-08-19 22:36
internaltemp,26.1,Celsius,16-08-19 22:46
internalrh,66,%,16-08-19 22:46
internaltemp,26.1,Celsius,16-08-19 22:56
internalrh,65,%,16-08-19 22:56
internaltemp,26.1,Celsius,16-08-19 23:06
internalrh,66,%,16-08-19 23:06
internaltemp,26.1,Celsius,16-08-19 23:16
internalrh,65,%,16-08-19 23:16
internaltemp,26.1,Celsius,16-08-19 23:26
internalrh,65,%,16-08-19 23:26
internaltemp,26.1,Celsius,16-08-19 23:36
internalrh,63,%,16-08-19 23:36
internaltemp,26.1,Celsius,16-08-19 23:46
internalrh,63,%,16-08-19 23:46
internaltemp,26.1,Celsius,16-08-19 23:56
internalrh,61,%,16-08-19 23:56
internaltemp,26.1,Celsius,17-08-19 0:06
internalrh,62,%,17-08-19 0:06
internaltemp,26.1,Celsius,17-08-19 0:16
internalrh,61,%,17-08-19 0:16
internaltemp,26,Celsius,17-08-19 0:26
internalrh,62,%,17-08-19 0:26
internaltemp,25.9,Celsius,17-08-19 0:36
internalrh,61,%,17-08-19 0:36
internaltemp,25.9,Celsius,17-08-19 0:46
internalrh,60,%,17-08-19 0:46
internaltemp,25.9,Celsius,17-08-19 0:56
internalrh,60,%,17-08-19 0:56
internaltemp,25.9,Celsius,17-08-19 1:06
internalrh,60,%,17-08-19 1:06
internaltemp,25.9,Celsius,17-08-19 1:16
internalrh,61,%,17-08-19 1:16
internaltemp,25.9,Celsius,17-08-19 1:26
internalrh,60,%,17-08-19 1:26
internaltemp,25.9,Celsius,17-08-19 1:36
internalrh,60,%,17-08-19 1:36
internaltemp,25.9,Celsius,17-08-19 1:46
internalrh,60,%,17-08-19 1:46
internaltemp,25.9,Celsius,17-08-19 1:56
internalrh,59,%,17-08-19 1:56
internaltemp,25.9,Celsius,17-08-19 2:06
internalrh,59,%,17-08-19 2:06
internaltemp,25.9,Celsius,17-08-19 2:16
internalrh,59,%,17-08-19 2:16
internaltemp,25.9,Celsius,17-08-19 2:26
internalrh,59,%,17-08-19 2:26
internaltemp,25.9,Celsius,17-08-19 2:36
internalrh,58,%,17-08-19 2:36
internaltemp,25.9,Celsius,17-08-19 2:46
internalrh,58,%,17-08-19 2:46
internaltemp,25.9,Celsius,17-08-19 2:56
internalrh,58,%,17-08-19 2:56
internaltemp,25.9,Celsius,17-08-19 3:06
internalrh,58,%,17-08-19 3:06
internaltemp,25.9,Celsius,17-08-19 3:16
internalrh,58,%,17-08-19 3:16
internaltemp,25.9,Celsius,17-08-19 3:26
internalrh,57,%,17-08-19 3:26
internaltemp,25.8,Celsius,17-08-19 3:36
internalrh,57,%,17-08-19 3:36
internaltemp,25.8,Celsius,17-08-19 3:46
internalrh,57,%,17-08-19 3:46
internaltemp,25.8,Celsius,17-08-19 3:56
internalrh,56,%,17-08-19 3:56
internaltemp,25.8,Celsius,17-08-19 4:06
internalrh,56,%,17-08-19 4:06
internaltemp,25.8,Celsius,17-08-19 4:16
internalrh,56,%,17-08-19 4:16
internaltemp,25.8,Celsius,17-08-19 4:26
internalrh,56,%,17-08-19 4:26
internaltemp,25.8,Celsius,17-08-19 4:36
internalrh,56,%,17-08-19 4:36
internaltemp,25.8,Celsius,17-08-19 4:46
internalrh,55,%,17-08-19 4:46
internaltemp,25.8,Celsius,17-08-19 4:56
internalrh,55,%,17-08-19 4:56
internaltemp,25.8,Celsius,17-08-19 5:06
internalrh,55,%,17-08-19 5:06
internaltemp,25.8,Celsius,17-08-19 5:16
internalrh,54,%,17-08-19 5:16
internaltemp,25.8,Celsius,17-08-19 5:26
internalrh,54,%,17-08-19 5:26
internaltemp,25.8,Celsius,17-08-19 5:36
internalrh,54,%,17-08-19 5:36
internaltemp,25.8,Celsius,17-08-19 5:46
internalrh,55,%,17-08-19 5:46
internaltemp,25.8,Celsius,17-08-19 5:56
internalrh,54,%,17-08-19 5:56
internaltemp,25.8,Celsius,17-08-19 6:06
internalrh,55,%,17-08-19 6:06
internaltemp,25.8,Celsius,17-08-19 6:16
internalrh,55,%,17-08-19 6:16
internaltemp,25.8,Celsius,17-08-19 6:26
internalrh,55,%,17-08-19 6:26
internaltemp,25.7,Celsius,17-08-19 6:36
internalrh,55,%,17-08-19 6:36
internaltemp,25.7,Celsius,17-08-19 6:46
internalrh,55,%,17-08-19 6:46
internaltemp,25.7,Celsius,17-08-19 6:56
internalrh,55,%,17-08-19 6:56
internaltemp,25.7,Celsius,17-08-19 7:06
internalrh,55,%,17-08-19 7:06
internaltemp,25.7,Celsius,17-08-19 7:15
internalrh,55,%,17-08-19 7:15
internaltemp,25.7,Celsius,17-08-19 7:25
internalrh,55,%,17-08-19 7:25
internaltemp,25.7,Celsius,17-08-19 7:36
internalrh,55,%,17-08-19 7:36
internaltemp,25.7,Celsius,17-08-19 7:46
internalrh,55,%,17-08-19 7:46
internaltemp,25.7,Celsius,17-08-19 7:56
internalrh,55,%,17-08-19 7:56
internaltemp,25.7,Celsius,17-08-19 8:06
internalrh,55,%,17-08-19 8:06
internaltemp,25.7,Celsius,17-08-19 8:15
internalrh,55,%,17-08-19 8:15
internaltemp,25.7,Celsius,17-08-19 8:25
internalrh,55,%,17-08-19 8:25
internaltemp,25.7,Celsius,17-08-19 8:35
internalrh,55,%,17-08-19 8:35
internaltemp,25.7,Celsius,17-08-19 8:45
internalrh,54,%,17-08-19 8:45
internaltemp,25.7,Celsius,17-08-19 8:55
internalrh,54,%,17-08-19 8:55
internaltemp,25.7,Celsius,17-08-19 9:06
internalrh,54,%,17-08-19 9:06
internaltemp,25.7,Celsius,17-08-19 9:16
internalrh,54,%,17-08-19 9:16
internaltemp,25.7,Celsius,17-08-19 9:26
internalrh,54,%,17-08-19 9:26
internaltemp,25.7,Celsius,17-08-19 9:36
internalrh,54,%,17-08-19 9:36
internaltemp,25.7,Celsius,17-08-19 9:46
internalrh,54,%,17-08-19 9:46
internaltemp,25.7,Celsius,17-08-19 9:56
internalrh,54,%,17-08-19 9:56
internaltemp,25.7,Celsius,17-08-19 10:06
internalrh,54,%,17-08-19 10:06
internaltemp,25.7,Celsius,17-08-19 10:16
internalrh,54,%,17-08-19 10:16
internaltemp,25.7,Celsius,17-08-19 10:26
internalrh,54,%,17-08-19 10:26
internaltemp,25.7,Celsius,17-08-19 10:36
internalrh,54,%,17-08-19 10:36
internaltemp,25.7,Celsius,17-08-19 10:46
internalrh,53,%,17-08-19 10:46
internaltemp,25.7,Celsius,17-08-19 10:56
internalrh,53,%,17-08-19 10:56
internaltemp,25.7,Celsius,17-08-19 11:06
internalrh,53,%,17-08-19 11:06
internaltemp,25.7,Celsius,17-08-19 11:16
internalrh,53,%,17-08-19 11:16
internaltemp,25.7,Celsius,17-08-19 11:26
internalrh,53,%,17-08-19 11:26
internaltemp,25.7,Celsius,17-08-19 11:36
internalrh,53,%,17-08-19 11:36
internaltemp,25.7,Celsius,17-08-19 11:46
internalrh,53,%,17-08-19 11:46
internaltemp,25.7,Celsius,17-08-19 11:56
internalrh,53,%,17-08-19 11:56
internaltemp,25.7,Celsius,17-08-19 12:06
internalrh,53,%,17-08-19 12:06
internaltemp,25.7,Celsius,17-08-19 12:16
internalrh,53,%,17-08-19 12:16
internaltemp,25.7,Celsius,17-08-19 12:26
internalrh,53,%,17-08-19 12:26
internaltemp,25.7,Celsius,17-08-19 12:36
internalrh,53,%,17-08-19 12:36
internaltemp,25.7,Celsius,17-08-19 12:46
internalrh,52,%,17-08-19 12:46
internaltemp,25.7,Celsius,17-08-19 12:56
internalrh,52,%,17-08-19 12:56
internaltemp,25.7,Celsius,17-08-19 13:06
internalrh,52,%,17-08-19 13:06
internaltemp,25.7,Celsius,17-08-19 13:16
internalrh,52,%,17-08-19 13:16
internaltemp,25.7,Celsius,17-08-19 13:25
internalrh,52,%,17-08-19 13:25
internaltemp,25.7,Celsius,17-08-19 13:36
internalrh,52,%,17-08-19 13:36
internaltemp,25.7,Celsius,17-08-19 13:46
internalrh,52,%,17-08-19 13:46
internaltemp,25.8,Celsius,17-08-19 13:56
internalrh,52,%,17-08-19 13:56
internaltemp,25.8,Celsius,17-08-19 14:06
internalrh,52,%,17-08-19 14:06
internaltemp,25.8,Celsius,17-08-19 14:16
internalrh,52,%,17-08-19 14:16
internaltemp,25.8,Celsius,17-08-19 14:26
internalrh,52,%,17-08-19 14:26
internaltemp,25.8,Celsius,17-08-19 14:36
internalrh,52,%,17-08-19 14:36
internaltemp,25.8,Celsius,17-08-19 14:46
internalrh,52,%,17-08-19 14:46
internaltemp,25.8,Celsius,17-08-19 14:56
internalrh,53,%,17-08-19 14:56
internaltemp,25.8,Celsius,17-08-19 15:05
internalrh,53,%,17-08-19 15:05
internaltemp,25.8,Celsius,17-08-19 15:15
internalrh,53,%,17-08-19 15:15
internaltemp,25.8,Celsius,17-08-19 15:26
internalrh,53,%,17-08-19 15:26
internaltemp,25.8,Celsius,17-08-19 15:36
internalrh,53,%,17-08-19 15:36
internaltemp,25.8,Celsius,17-08-19 15:46
internalrh,53,%,17-08-19 15:46
internaltemp,25.8,Celsius,17-08-19 15:56
internalrh,53,%,17-08-19 15:56
internaltemp,25.8,Celsius,17-08-19 16:06
internalrh,53,%,17-08-19 16:06
internaltemp,25.8,Celsius,17-08-19 16:16
internalrh,52,%,17-08-19 16:16
internaltemp,25.8,Celsius,17-08-19 16:25
internalrh,52,%,17-08-19 16:25
internaltemp,25.8,Celsius,17-08-19 16:35
internalrh,52,%,17-08-19 16:35
internaltemp,25.8,Celsius,17-08-19 16:45
internalrh,52,%,17-08-19 16:45
internaltemp,25.8,Celsius,17-08-19 16:56
internalrh,52,%,17-08-19 16:56
internaltemp,25.8,Celsius,17-08-19 17:06
internalrh,52,%,17-08-19 17:06
internaltemp,25.8,Celsius,17-08-19 17:16
internalrh,52,%,17-08-19 17:16
internaltemp,25.8,Celsius,17-08-19 17:26
internalrh,52,%,17-08-19 17:26
internaltemp,25.8,Celsius,17-08-19 17:36
internalrh,52,%,17-08-19 17:36
internaltemp,25.8,Celsius,17-08-19 17:46
internalrh,52,%,17-08-19 17:46
internaltemp,25.8,Celsius,17-08-19 17:56
internalrh,52,%,17-08-19 17:56
internaltemp,25.8,Celsius,17-08-19 18:06
internalrh,52,%,17-08-19 18:06
internaltemp,25.8,Celsius,17-08-19 18:16
internalrh,52,%,17-08-19 18:16
internaltemp,25.8,Celsius,17-08-19 18:26
internalrh,52,%,17-08-19 18:26
internaltemp,25.8,Celsius,17-08-19 18:36
internalrh,52,%,17-08-19 18:36
internaltemp,25.8,Celsius,17-08-19 18:46
internalrh,52,%,17-08-19 18:46
internaltemp,25.8,Celsius,17-08-19 18:56
internalrh,52,%,17-08-19 18:56
internaltemp,25.8,Celsius,17-08-19 19:06
internalrh,52,%,17-08-19 19:06
internaltemp,25.8,Celsius,17-08-19 19:16
internalrh,52,%,17-08-19 19:16
internaltemp,25.8,Celsius,17-08-19 19:26
internalrh,52,%,17-08-19 19:26
internaltemp,25.9,Celsius,17-08-19 19:36
internalrh,53,%,17-08-19 19:36
internaltemp,25.9,Celsius,17-08-19 19:46
internalrh,53,%,17-08-19 19:46
internaltemp,25.9,Celsius,17-08-19 19:56
internalrh,54,%,17-08-19 19:56
internaltemp,25.9,Celsius,17-08-19 20:06
internalrh,54,%,17-08-19 20:06
internaltemp,25.9,Celsius,17-08-19 20:16
internalrh,54,%,17-08-19 20:16
internaltemp,25.9,Celsius,17-08-19 20:26
internalrh,54,%,17-08-19 20:26
internaltemp,25.9,Celsius,17-08-19 20:36
internalrh,54,%,17-08-19 20:36
internaltemp,25.9,Celsius,17-08-19 20:46
internalrh,54,%,17-08-19 20:46
internaltemp,25.8,Celsius,17-08-19 20:56
internalrh,54,%,17-08-19 20:56
internaltemp,25.8,Celsius,17-08-19 21:06
internalrh,54,%,17-08-19 21:06
internaltemp,25.8,Celsius,17-08-19 21:16
internalrh,55,%,17-08-19 21:16
internaltemp,25.9,Celsius,17-08-19 21:26
internalrh,55,%,17-08-19 21:26
internaltemp,25.9,Celsius,17-08-19 21:36
internalrh,55,%,17-08-19 21:36
internaltemp,25.9,Celsius,17-08-19 21:46
internalrh,56,%,17-08-19 21:46
internaltemp,25.8,Celsius,17-08-19 21:56
internalrh,56,%,17-08-19 21:56
internaltemp,25.9,Celsius,17-08-19 22:06
internalrh,57,%,17-08-19 22:06
internaltemp,25.9,Celsius,17-08-19 22:16
internalrh,57,%,17-08-19 22:16
internaltemp,25.8,Celsius,17-08-19 22:26
internalrh,57,%,17-08-19 22:26
internaltemp,25.8,Celsius,17-08-19 22:36
internalrh,57,%,17-08-19 22:36
internaltemp,25.8,Celsius,17-08-19 22:46
internalrh,57,%,17-08-19 22:46
internaltemp,25.8,Celsius,17-08-19 22:56
internalrh,57,%,17-08-19 22:56
internaltemp,25.8,Celsius,17-08-19 23:06
internalrh,56,%,17-08-19 23:06
internaltemp,25.8,Celsius,17-08-19 23:16
internalrh,56,%,17-08-19 23:16
internaltemp,25.8,Celsius,17-08-19 23:26
internalrh,55,%,17-08-19 23:26
internaltemp,25.8,Celsius,17-08-19 23:36
internalrh,55,%,17-08-19 23:36
internaltemp,25.8,Celsius,17-08-19 23:46
internalrh,54,%,17-08-19 23:46
internaltemp,25.8,Celsius,17-08-19 23:56
internalrh,55,%,17-08-19 23:56
internaltemp,25.8,Celsius,18-08-19 0:06
internalrh,54,%,18-08-19 0:06
internaltemp,25.8,Celsius,18-08-19 0:16
internalrh,54,%,18-08-19 0:16
internaltemp,25.8,Celsius,18-08-19 0:26
internalrh,54,%,18-08-19 0:26
internaltemp,25.8,Celsius,18-08-19 0:36
internalrh,54,%,18-08-19 0:36
internaltemp,25.8,Celsius,18-08-19 0:46
internalrh,54,%,18-08-19 0:46
internaltemp,25.8,Celsius,18-08-19 0:56
internalrh,54,%,18-08-19 0:56
internaltemp,25.7,Celsius,18-08-19 1:06
internalrh,54,%,18-08-19 1:06
internaltemp,25.7,Celsius,18-08-19 1:16
internalrh,53,%,18-08-19 1:16
internaltemp,25.7,Celsius,18-08-19 1:26
internalrh,53,%,18-08-19 1:26
internaltemp,25.7,Celsius,18-08-19 1:36
internalrh,53,%,18-08-19 1:36
internaltemp,25.7,Celsius,18-08-19 1:46
internalrh,53,%,18-08-19 1:46
internaltemp,25.7,Celsius,18-08-19 1:56
internalrh,53,%,18-08-19 1:56
internaltemp,25.7,Celsius,18-08-19 2:06
internalrh,53,%,18-08-19 2:06
internaltemp,25.7,Celsius,18-08-19 2:16
internalrh,53,%,18-08-19 2:16
internaltemp,25.7,Celsius,18-08-19 2:25
internalrh,53,%,18-08-19 2:25
internaltemp,25.7,Celsius,18-08-19 2:35
internalrh,53,%,18-08-19 2:35
internaltemp,25.7,Celsius,18-08-19 2:45
internalrh,53,%,18-08-19 2:45
internaltemp,25.7,Celsius,18-08-19 2:56
internalrh,53,%,18-08-19 2:56
internaltemp,25.7,Celsius,18-08-19 3:06
internalrh,53,%,18-08-19 3:06
internaltemp,25.7,Celsius,18-08-19 3:16
internalrh,53,%,18-08-19 3:16
internaltemp,25.7,Celsius,18-08-19 3:26
internalrh,53,%,18-08-19 3:26
internaltemp,25.7,Celsius,18-08-19 3:36
internalrh,53,%,18-08-19 3:36
internaltemp,25.7,Celsius,18-08-19 3:46
internalrh,53,%,18-08-19 3:46
internaltemp,25.7,Celsius,18-08-19 3:56
internalrh,54,%,18-08-19 3:56
internaltemp,25.7,Celsius,18-08-19 4:05
internalrh,54,%,18-08-19 4:05
internaltemp,25.7,Celsius,18-08-19 4:15
internalrh,54,%,18-08-19 4:15
internaltemp,25.7,Celsius,18-08-19 4:25
internalrh,54,%,18-08-19 4:25
internaltemp,25.7,Celsius,18-08-19 4:35
internalrh,54,%,18-08-19 4:35
internaltemp,25.6,Celsius,18-08-19 4:46
internalrh,54,%,18-08-19 4:46
internaltemp,25.6,Celsius,18-08-19 4:56
internalrh,53,%,18-08-19 4:56
internaltemp,25.6,Celsius,18-08-19 5:06
internalrh,53,%,18-08-19 5:06
internaltemp,25.6,Celsius,18-08-19 5:16
internalrh,53,%,18-08-19 5:16
internaltemp,25.6,Celsius,18-08-19 5:26
internalrh,53,%,18-08-19 5:26
internaltemp,25.6,Celsius,18-08-19 5:36
internalrh,53,%,18-08-19 5:36
internaltemp,25.6,Celsius,18-08-19 5:46
internalrh,53,%,18-08-19 5:46
internaltemp,25.6,Celsius,18-08-19 5:56
internalrh,53,%,18-08-19 5:56
internaltemp,25.6,Celsius,18-08-19 6:06
internalrh,53,%,18-08-19 6:06
internaltemp,25.6,Celsius,18-08-19 6:16
internalrh,53,%,18-08-19 6:16
internaltemp,25.6,Celsius,18-08-19 6:26
internalrh,53,%,18-08-19 6:26
internaltemp,25.6,Celsius,18-08-19 6:36
internalrh,52,%,18-08-19 6:36
internaltemp,25.6,Celsius,18-08-19 6:46
internalrh,52,%,18-08-19 6:46
internaltemp,25.5,Celsius,18-08-19 6:56
internalrh,52,%,18-08-19 6:56
internaltemp,25.5,Celsius,18-08-19 7:06
internalrh,51,%,18-08-19 7:06
internaltemp,25.6,Celsius,18-08-19 7:16
internalrh,50,%,18-08-19 7:16
internaltemp,25.6,Celsius,18-08-19 7:26
internalrh,50,%,18-08-19 7:26
internaltemp,25.6,Celsius,18-08-19 7:36
internalrh,50,%,18-08-19 7:36
internaltemp,25.6,Celsius,18-08-19 7:46
internalrh,50,%,18-08-19 7:46
internaltemp,25.7,Celsius,18-08-19 7:56
internalrh,53,%,18-08-19 7:56
internaltemp,25.8,Celsius,18-08-19 8:06
internalrh,54,%,18-08-19 8:06
internaltemp,25.8,Celsius,18-08-19 8:15
internalrh,55,%,18-08-19 8:15
internaltemp,25.8,Celsius,18-08-19 8:25
internalrh,55,%,18-08-19 8:25
internaltemp,25.8,Celsius,18-08-19 8:35
internalrh,56,%,18-08-19 8:35
internaltemp,25.8,Celsius,18-08-19 8:45
internalrh,56,%,18-08-19 8:45
internaltemp,25.9,Celsius,18-08-19 8:55
internalrh,55,%,18-08-19 8:55
internaltemp,25.9,Celsius,18-08-19 9:05
internalrh,55,%,18-08-19 9:05
internaltemp,25.9,Celsius,18-08-19 9:16
internalrh,55,%,18-08-19 9:16
internaltemp,25.9,Celsius,18-08-19 9:26
internalrh,55,%,18-08-19 9:26
internaltemp,26.1,Celsius,18-08-19 9:36
internalrh,55,%,18-08-19 9:36
internaltemp,26.1,Celsius,18-08-19 9:46
internalrh,55,%,18-08-19 9:46
internaltemp,26.1,Celsius,18-08-19 9:55
internalrh,55,%,18-08-19 9:55
internaltemp,26.1,Celsius,18-08-19 10:05
internalrh,54,%,18-08-19 10:05
internaltemp,26.2,Celsius,18-08-19 10:16
internalrh,54,%,18-08-19 10:16
internaltemp,26.2,Celsius,18-08-19 10:26
internalrh,54,%,18-08-19 10:26
internaltemp,26.3,Celsius,18-08-19 10:36
internalrh,54,%,18-08-19 10:36
internaltemp,26.3,Celsius,18-08-19 10:46
internalrh,54,%,18-08-19 10:46
internaltemp,26.3,Celsius,18-08-19 10:56
internalrh,54,%,18-08-19 10:56
internaltemp,26.4,Celsius,18-08-19 11:06
internalrh,53,%,18-08-19 11:06
internaltemp,26.5,Celsius,18-08-19 11:16
internalrh,53,%,18-08-19 11:16
internaltemp,26.5,Celsius,18-08-19 11:26
internalrh,53,%,18-08-19 11:26
internaltemp,26.5,Celsius,18-08-19 11:35
internalrh,53,%,18-08-19 11:35
internaltemp,26.6,Celsius,18-08-19 11:45
internalrh,53,%,18-08-19 11:45
internaltemp,26.6,Celsius,18-08-19 11:55
internalrh,52,%,18-08-19 11:55
internaltemp,26.6,Celsius,18-08-19 12:06
internalrh,52,%,18-08-19 12:06
internaltemp,26.6,Celsius,18-08-19 12:16
internalrh,52,%,18-08-19 12:16
internaltemp,26.6,Celsius,18-08-19 12:25
internalrh,52,%,18-08-19 12:25
internaltemp,26.7,Celsius,18-08-19 12:35
internalrh,52,%,18-08-19 12:35
internaltemp,26.7,Celsius,18-08-19 12:45
internalrh,52,%,18-08-19 12:45
internaltemp,26.8,Celsius,18-08-19 12:55
internalrh,52,%,18-08-19 12:55
internaltemp,26.8,Celsius,18-08-19 13:05
internalrh,51,%,18-08-19 13:05
internaltemp,26.9,Celsius,18-08-19 13:16
internalrh,51,%,18-08-19 13:16
internaltemp,26.8,Celsius,18-08-19 13:26
internalrh,51,%,18-08-19 13:26
internaltemp,26.7,Celsius,18-08-19 13:36
internalrh,50,%,18-08-19 13:36
internaltemp,26.6,Celsius,18-08-19 13:46
internalrh,50,%,18-08-19 13:46
internaltemp,26.5,Celsius,18-08-19 13:56
internalrh,50,%,18-08-19 13:56
internaltemp,26.5,Celsius,18-08-19 14:06
internalrh,50,%,18-08-19 14:06
internaltemp,26.5,Celsius,18-08-19 14:16
internalrh,49,%,18-08-19 14:16
internaltemp,26.4,Celsius,18-08-19 14:26
internalrh,49,%,18-08-19 14:26
internaltemp,26.4,Celsius,18-08-19 14:36
internalrh,50,%,18-08-19 14:36
internaltemp,26.4,Celsius,18-08-19 14:46
internalrh,49,%,18-08-19 14:46
internaltemp,26.4,Celsius,18-08-19 14:56
internalrh,49,%,18-08-19 14:56
internaltemp,26.4,Celsius,18-08-19 15:06
internalrh,49,%,18-08-19 15:06
internaltemp,26.4,Celsius,18-08-19 15:16
internalrh,51,%,18-08-19 15:16
internaltemp,26.4,Celsius,18-08-19 15:26
internalrh,51,%,18-08-19 15:26
internaltemp,26.4,Celsius,18-08-19 15:35
internalrh,52,%,18-08-19 15:35
internaltemp,26.5,Celsius,18-08-19 15:45
internalrh,53,%,18-08-19 15:45
internaltemp,26.5,Celsius,18-08-19 15:55
internalrh,53,%,18-08-19 15:55
internaltemp,26.5,Celsius,18-08-19 16:06
internalrh,54,%,18-08-19 16:06
internaltemp,26.5,Celsius,18-08-19 16:16
internalrh,54,%,18-08-19 16:16
internaltemp,26.4,Celsius,18-08-19 16:26
internalrh,54,%,18-08-19 16:26
internaltemp,26.4,Celsius,18-08-19 16:36
internalrh,54,%,18-08-19 16:36
internaltemp,26.4,Celsius,18-08-19 16:46
internalrh,54,%,18-08-19 16:46
internaltemp,26.4,Celsius,18-08-19 16:56
internalrh,54,%,18-08-19 16:56
internaltemp,26.4,Celsius,18-08-19 17:06
internalrh,54,%,18-08-19 17:06
internaltemp,26.4,Celsius,18-08-19 17:16
internalrh,54,%,18-08-19 17:16
internaltemp,26.4,Celsius,18-08-19 17:25
internalrh,54,%,18-08-19 17:25
